Date,Open,High,Low,Close*,Volume(MM),%Change,MACD,MACDsig,RS,RSI,Stochastic%K,Stochastic%D,Consecutive Move,Sum of % change during consecutive,Class
"Feb 06, 2014","1,752.99","1,774.06","1,752.99","1,773.43","3,825.41",1.24%,-16.19,-9.28,0.50,33.29,31.88,19.39,1.00,1.24%,5
"Feb 07, 2014","1,776.01","1,798.03","1,776.01","1,797.02","3,775.99",1.33%,-13.76,-10.17,0.70,41.06,53.06,32.42,2.00,2.57%,5
"Feb 10, 2014","1,796.20","1,799.94","1,791.83","1,799.84","3,312.16",0.16%,-11.48,-10.43,0.68,40.48,56.83,47.26,3.00,2.73%,3
"Feb 11, 2014","1,800.45","1,823.54","1,800.41","1,819.75","3,699.38",1.11%,-7.97,-9.94,0.82,44.97,78.40,62.76,4.00,3.84%,5
"Feb 12, 2014","1,820.12","1,826.55","1,815.97","1,819.26","3,326.38",-0.03%,-5.17,-8.99,0.92,48.03,91.35,75.53,1.00,-0.03%,3
"Feb 13, 2014","1,814.82","1,830.25","1,809.22","1,829.83","3,289.51",0.58%,-2.07,-7.60,1.47,59.58,99.55,89.77,1.00,0.58%,4
"Feb 14, 2014","1,828.46","1,841.65","1,825.59","1,838.63","3,114.75",0.48%,1.08,-5.87,1.76,63.83,97.09,96.00,2.00,1.06%,4
"Feb 18, 2014","1,839.03","1,842.87","1,835.01","1,840.76","3,421.11",0.12%,3.71,-3.95,1.65,62.21,97.99,98.21,3.00,1.18%,3
"Feb 19, 2014","1,838.90","1,847.50","1,826.99","1,828.75","3,661.57",-0.65%,4.76,-2.21,1.80,64.26,82.89,92.66,1.00,-0.65%,2
"Feb 20, 2014","1,829.24","1,842.79","1,824.58","1,839.78","3,404.98",0.60%,6.42,-0.48,1.67,62.50,92.95,91.28,1.00,0.60%,4
"Feb 21, 2014","1,841.07","1,846.13","1,835.60","1,836.25","3,403.88",-0.19%,7.36,1.08,1.89,65.40,89.73,88.53,1.00,-0.19%,3
"Feb 24, 2014","1,836.78","1,858.71","1,836.78","1,847.61","4,014.53",0.62%,8.92,2.65,6.40,86.48,90.81,91.17,1.00,0.62%,4
"Feb 25, 2014","1,847.66","1,852.91","1,840.19","1,845.12","3,515.56",-0.13%,9.84,4.09,5.07,83.53,88.75,89.76,1.00,-0.13%,3
"Feb 26, 2014","1,845.79","1,852.65","1,840.66","1,845.16","3,716.73",0.00%,10.45,5.36,6.05,85.81,87.18,88.91,1.00,0.00%,3
"Feb 27, 2014","1,844.90","1,854.53","1,841.13","1,854.29","3,547.46",0.49%,11.54,6.60,5.37,84.29,94.66,90.20,2.00,0.50%,4
"Feb 28, 2014","1,855.12","1,867.92","1,847.67","1,859.45","3,917.45",0.28%,12.68,7.81,4.37,81.38,88.87,90.24,3.00,0.78%,3
"Mar 03, 2014","1,857.68","1,857.68","1,834.44","1,845.73","3,428.22",-0.74%,12.33,8.72,2.42,70.79,67.13,83.55,1.00,-0.74%,2
"Mar 04, 2014","1,849.23","1,876.23","1,849.23","1,873.91","3,765.77",1.53%,14.16,9.81,2.68,72.83,96.54,84.18,1.00,1.53%,5
"Mar 05, 2014","1,874.05","1,876.53","1,871.11","1,873.81","3,392.99",-0.01%,15.43,10.93,2.71,73.07,95.96,86.54,1.00,-0.01%,3
"Mar 06, 2014","1,874.18","1,881.94","1,874.18","1,877.03","3,360.45",0.17%,16.50,12.04,2.48,71.28,91.44,94.65,1.00,0.17%,3
"Mar 07, 2014","1,878.52","1,883.57","1,870.56","1,878.04","3,564.74",0.05%,17.23,13.08,2.24,69.11,90.63,92.67,2.00,0.23%,3
"Mar 10, 2014","1,877.86","1,877.87","1,867.04","1,877.17","3,021.35",-0.05%,17.54,13.97,2.11,67.87,89.15,90.41,1.00,-0.05%,3
"Mar 11, 2014","1,878.26","1,882.35","1,863.88","1,867.63","3,392.40",-0.51%,16.82,14.54,2.29,69.56,72.98,84.25,2.00,-0.55%,2
"Mar 12, 2014","1,866.15","1,868.38","1,854.38","1,868.20","3,270.86",0.03%,16.11,14.86,1.94,65.98,68.72,76.95,1.00,0.03%,3
"Mar 13, 2014","1,869.06","1,874.40","1,841.86","1,846.34","3,670.99",-1.17%,13.63,14.61,1.21,54.70,24.22,55.31,1.00,-1.17%,1
"Mar 14, 2014","1,845.07","1,852.44","1,839.57","1,841.13","3,285.46",-0.28%,11.11,13.91,0.88,46.80,13.62,35.52,2.00,-1.45%,3
"Mar 17, 2014","1,842.81","1,862.30","1,842.81","1,858.83","2,860.49",0.96%,10.43,13.22,1.27,55.89,49.64,29.16,1.00,0.96%,4
"Mar 18, 2014","1,858.92","1,873.76","1,858.92","1,872.25","2,930.19",0.72%,10.84,12.74,1.53,60.44,76.96,46.74,2.00,1.68%,4
"Mar 19, 2014","1,872.25","1,874.14","1,850.35","1,860.77","3,289.21",-0.61%,10.13,12.22,1.10,52.45,53.59,60.07,1.00,-0.61%,2
"Mar 20, 2014","1,860.09","1,873.49","1,854.63","1,872.01","3,327.54",0.60%,10.35,11.84,1.20,54.55,76.47,69.01,1.00,0.60%,4
"Mar 21, 2014","1,874.53","1,883.97","1,863.46","1,866.52","5,270.71",-0.29%,9.96,11.47,1.38,58.00,60.70,63.59,1.00,-0.29%,3
"Mar 24, 2014","1,867.67","1,873.34","1,849.69","1,857.44","3,409.00",-0.49%,8.83,10.94,0.74,42.57,40.25,59.14,2.00,-0.78%,2
"Mar 25, 2014","1,859.48","1,871.87","1,855.96","1,865.62","3,200.56",0.44%,8.49,10.45,0.87,46.56,58.67,53.21,1.00,0.44%,4
"Mar 26, 2014","1,867.09","1,875.92","1,852.56","1,852.56","3,480.85",-0.70%,7.08,9.78,0.68,40.49,29.26,42.73,1.00,-0.70%,2
"Mar 27, 2014","1,852.11","1,855.55","1,842.11","1,849.04","3,733.43",-0.19%,5.62,8.95,0.64,38.95,21.33,36.42,2.00,-0.89%,3
"Mar 28, 2014","1,850.07","1,866.63","1,850.07","1,857.62","2,955.52",0.46%,5.10,8.18,0.75,42.96,40.65,30.41,1.00,0.46%,4
"Mar 31, 2014","1,859.16","1,875.18","1,859.16","1,872.34","3,274.30",0.79%,5.80,7.70,1.07,51.63,73.81,45.26,2.00,1.26%,4
"Apr 01, 2014","1,873.96","1,885.84","1,873.96","1,885.52","3,336.19",0.70%,7.34,7.63,1.25,55.53,99.31,71.26,3.00,1.96%,4
"Apr 02, 2014","1,886.61","1,893.17","1,883.79","1,890.90","3,131.66",0.29%,8.89,7.88,1.93,65.89,95.76,89.63,4.00,2.25%,3
"Apr 03, 2014","1,891.43","1,893.80","1,882.65","1,888.77","3,055.60",-0.11%,9.83,8.27,2.06,67.37,90.27,95.11,1.00,-0.11%,3
